locus_tag	ftype	length_bp	gene	EC_number	COG	product
OKAGGDNG_00964	CDS	267	minE		COG0851	Cell division topological specificity factor
OKAGGDNG_00965	CDS	285				hypothetical protein
OKAGGDNG_00966	CDS	330	ymgD			putative protein YmgD
OKAGGDNG_00967	CDS	1017	icsA_1		COG3468	Outer membrane protein IcsA autotransporter
OKAGGDNG_00968	CDS	1521				hypothetical protein
OKAGGDNG_00969	CDS	219	ymgF			Inner membrane protein YmgF
OKAGGDNG_00970	CDS	1524	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
OKAGGDNG_00971	CDS	249	ymgC			putative protein YmgC
OKAGGDNG_00972	CDS	267	ariR			putative two-component-system connector protein AriR
OKAGGDNG_00973	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
OKAGGDNG_00974	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
OKAGGDNG_00975	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
OKAGGDNG_00976	CDS	405	ydfO		COG5562	putative protein YdfO
OKAGGDNG_00977	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
OKAGGDNG_00978	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
OKAGGDNG_00979	CDS	462	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
OKAGGDNG_00980	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
OKAGGDNG_00981	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
OKAGGDNG_00982	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
OKAGGDNG_00983	CDS	672	phoP			Transcriptional regulatory protein PhoP
OKAGGDNG_00984	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
OKAGGDNG_00985	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
OKAGGDNG_00986	CDS	1227	pepT	3.4.11.4	COG2195	Peptidase T
OKAGGDNG_00987	CDS	1137	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
OKAGGDNG_00988	CDS	858	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
OKAGGDNG_00989	CDS	795	ydcV_2			Inner membrane ABC transporter permease protein YdcV
OKAGGDNG_00990	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
OKAGGDNG_00991	CDS	408	ymfA			Inner membrane protein YmfA
OKAGGDNG_00992	CDS	789	ycfZ			Inner membrane protein YcfZ
OKAGGDNG_00993	CDS	840	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
OKAGGDNG_00994	CDS	441	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
OKAGGDNG_00995	CDS	573	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
OKAGGDNG_00996	CDS	1032	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
OKAGGDNG_00997	CDS	654	metI		COG2011	D-methionine transport system permease protein MetI
OKAGGDNG_00998	CDS	816	metQ		COG1464	D-methionine-binding lipoprotein MetQ
OKAGGDNG_00999	CDS	405	rcsF			Outer membrane lipoprotein RcsF
OKAGGDNG_01000	CDS	708	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
OKAGGDNG_01001	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
OKAGGDNG_01002	CDS	825				hypothetical protein
OKAGGDNG_01003	CDS	711	nlpE		COG3015	Lipoprotein NlpE
OKAGGDNG_01004	CDS	423	arfB	3.1.1.29	COG1186	Peptidyl-tRNA hydrolase ArfB
OKAGGDNG_01005	CDS	546	yaeQ		COG4681	putative protein YaeQ
OKAGGDNG_01006	CDS	201				hypothetical protein
OKAGGDNG_01007	CDS	261	rof		COG4568	Protein rof
OKAGGDNG_01008	CDS	1299	tilS	6.3.4.19	COG0037	tRNA(Ile)-lysidine synthase
OKAGGDNG_01009	CDS	390				hypothetical protein
OKAGGDNG_01010	CDS	2142	ldcC	4.1.1.18	COG1982	Constitutive lysine decarboxylase
OKAGGDNG_01011	CDS	960	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
OKAGGDNG_01012	CDS	3483	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
OKAGGDNG_01013	CDS	597	rnhB	3.1.26.4	COG0164	Ribonuclease HII
OKAGGDNG_01014	CDS	1149	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
OKAGGDNG_01015	CDS	789	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
OKAGGDNG_01016	CDS	456	fabZ	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
OKAGGDNG_01017	CDS	1026	lpxD	2.3.1.191	COG1044	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
OKAGGDNG_01018	CDS	486	skp		COG2825	Chaperone protein Skp
OKAGGDNG_01019	CDS	2433	bamA		COG4775	Outer membrane protein assembly factor BamA
OKAGGDNG_01020	CDS	1353	rseP	3.4.24.-	COG0750	Regulator of sigma-E protease RseP
OKAGGDNG_01021	CDS	750	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OKAGGDNG_01022	CDS	153				hypothetical protein
OKAGGDNG_01023	CDS	759	ispU	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
OKAGGDNG_01024	CDS	1197	dxr	1.1.1.267	COG0743	1-deoxy-D-xylulose 5-phosphate reductoisomerase
OKAGGDNG_01025	CDS	558	frr		COG0233	Ribosome-recycling factor
OKAGGDNG_01026	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
OKAGGDNG_01027	CDS	852	tsf		COG0264	Elongation factor Ts
OKAGGDNG_01028	CDS	726	rpsB		COG0052	30S ribosomal protein S2
OKAGGDNG_01029	CDS	795	map	3.4.11.18	COG0024	Methionine aminopeptidase
OKAGGDNG_01030	CDS	2673	glnD		COG2844	Bifunctional uridylyltransferase/uridylyl-removing enzyme
OKAGGDNG_01031	CDS	825	dapD	2.3.1.117	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
OKAGGDNG_01032	CDS	813	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
OKAGGDNG_01033	CDS	387				hypothetical protein
OKAGGDNG_01034	CDS	1158	cdaR		COG3835	Carbohydrate diacid regulator
OKAGGDNG_01035	CDS	1425	degP	3.4.21.107	COG0265	Periplasmic serine endoprotease DegP
OKAGGDNG_01036	CDS	1518	dgt	3.1.5.1	COG0232	Deoxyguanosinetriphosphate triphosphohydrolase
OKAGGDNG_01037	CDS	699	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
OKAGGDNG_01038	CDS	801	btuF		COG0614	Vitamin B12-binding protein
OKAGGDNG_01039	CDS	624				hypothetical protein
OKAGGDNG_01040	CDS	345	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
OKAGGDNG_01041	CDS	1422	clcA			H(+)/Cl(-) exchange transporter ClcA
OKAGGDNG_01042	CDS	1281	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
OKAGGDNG_01043	CDS	1983	fhuB		COG0609	Iron(3+)-hydroxamate import system permease protein FhuB
OKAGGDNG_01044	CDS	891	fhuD		COG0614	Iron(3+)-hydroxamate-binding protein FhuD
OKAGGDNG_01045	CDS	798	fhuC	7.2.2.16	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
OKAGGDNG_01046	CDS	2244	fhuA		COG1629	Ferrichrome outer membrane transporter/phage receptor
OKAGGDNG_01047	CDS	2526	mrcB		COG0744	Penicillin-binding protein 1B
OKAGGDNG_01048	CDS	2430	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
OKAGGDNG_01049	CDS	531	thpR	3.1.4.58	COG1514	RNA 2',3'-cyclic phosphodiesterase
OKAGGDNG_01050	CDS	705	sfsA		COG1489	Sugar fermentation stimulation protein A
OKAGGDNG_01051	CDS	456	dksA		COG1734	RNA polymerase-binding transcription factor DksA
OKAGGDNG_01052	CDS	927	gluQ	6.1.1.-	COG0008	Glutamyl-Q tRNA(Asp) synthetase
OKAGGDNG_01053	CDS	1365	pcnB	2.7.7.19	COG0617	Poly(A) polymerase I
OKAGGDNG_01054	CDS	480	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
OKAGGDNG_01055	CDS	585	yadN			putative fimbrial-like protein YadN
OKAGGDNG_01056	CDS	741	yadV			putative fimbrial chaperone YadV
OKAGGDNG_01057	CDS	2601	htrE		COG3188	Outer membrane usher protein HtrE
OKAGGDNG_01058	CDS	384	yadM			putative fimbrial-like protein YadM
OKAGGDNG_01059	CDS	603	yadL			putative fimbrial-like protein YadL
OKAGGDNG_01060	CDS	597	yadK			putative fimbrial-like protein YadK
OKAGGDNG_01061	CDS	1275	yadC			putative fimbrial-like protein YadC
OKAGGDNG_01062	CDS	795	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
OKAGGDNG_01063	CDS	852	panC	6.3.2.1	COG0414	Pantothenate synthetase
OKAGGDNG_01064	CDS	903				ISNCY family transposase ISSen7
OKAGGDNG_01065	CDS	381	panD	4.1.1.11		Aspartate 1-decarboxylase
OKAGGDNG_01066	CDS	1230				hypothetical protein
OKAGGDNG_01067	CDS	441				hypothetical protein
OKAGGDNG_01068	CDS	771	yadH		COG0842	Inner membrane transport permease YadH
OKAGGDNG_01069	CDS	927	yadG		COG1131	putative ABC transporter ATP-binding protein YadG
OKAGGDNG_01070	CDS	663	can	4.2.1.1	COG0288	Carbonic anhydrase 2
OKAGGDNG_01071	CDS	537	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
OKAGGDNG_01072	CDS	2391	gcd	1.1.5.2	COG4993	Quinoprotein glucose dehydrogenase
OKAGGDNG_01073	CDS	1551	cueO		COG2132	Blue copper oxidase CueO
OKAGGDNG_01074	CDS	309				hypothetical protein
OKAGGDNG_01075	CDS	867	speE	2.5.1.-	COG0421	Polyamine aminopropyltransferase
OKAGGDNG_01076	CDS	795	speD	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
OKAGGDNG_01077	CDS	363				hypothetical protein
OKAGGDNG_01078	CDS	2598	acnB	4.2.1.3	COG1049	Aconitate hydratase B
OKAGGDNG_01079	CDS	1854				hypothetical protein
OKAGGDNG_01080	CDS	1425	lpdA	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
OKAGGDNG_01081	CDS	1893	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
OKAGGDNG_01082	CDS	2664	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
OKAGGDNG_01083	CDS	765	pdhR_1		COG2186	Pyruvate dehydrogenase complex repressor
OKAGGDNG_01084	CDS	1371	aroP		COG1113	Aromatic amino acid transport protein AroP
OKAGGDNG_01085	CDS	855	ampE		COG3725	Protein AmpE
OKAGGDNG_01086	CDS	552	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
OKAGGDNG_01087	CDS	894	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
OKAGGDNG_01088	CDS	441				hypothetical protein
OKAGGDNG_01089	CDS	1386	epsE_1		COG2804	Type II secretion system protein E
OKAGGDNG_01090	CDS	1203	epsF_1		COG1459	Type II secretion system protein F
OKAGGDNG_01091	CDS	1044	guaC	1.7.1.7	COG0516	GMP reductase
OKAGGDNG_01092	CDS	621	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
OKAGGDNG_01093	CDS	744	zapD		COG4582	Cell division protein ZapD
OKAGGDNG_01094	CDS	198	yacG		COG3024	DNA gyrase inhibitor YacG
OKAGGDNG_01095	CDS	390	mutT	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
OKAGGDNG_01096	CDS	2706	secA		COG0653	Protein translocase subunit SecA
OKAGGDNG_01097	CDS	588	secM			Secretion monitor
OKAGGDNG_01098	CDS	918	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
OKAGGDNG_01099	CDS	1152	ftsZ		COG0206	Cell division protein FtsZ
OKAGGDNG_01100	CDS	1263	ftsA_1		COG0849	Cell division protein FtsA
OKAGGDNG_01101	CDS	831	ftsQ		COG1589	Cell division protein FtsQ
OKAGGDNG_01102	CDS	921	ddlB	6.3.2.4	COG1181	D-alanine--D-alanine ligase B
OKAGGDNG_01103	CDS	1476	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
OKAGGDNG_01104	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
OKAGGDNG_01105	CDS	1245	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
OKAGGDNG_01106	CDS	1317	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
OKAGGDNG_01107	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
OKAGGDNG_01108	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
OKAGGDNG_01109	CDS	1488	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
OKAGGDNG_01110	CDS	1767	ftsI	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase FtsI
OKAGGDNG_01111	CDS	366	ftsL		COG3116	Cell division protein FtsL
OKAGGDNG_01112	CDS	942	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
OKAGGDNG_01113	CDS	459	mraZ		COG2001	Transcriptional regulator MraZ
OKAGGDNG_01114	CDS	1005	cra_1		COG1609	Catabolite repressor/activator
OKAGGDNG_01115	CDS	492	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
OKAGGDNG_01116	CDS	1725	ilvI	2.2.1.6	COG0028	Acetolactate synthase isozyme 3 large subunit
OKAGGDNG_01117	CDS	945	leuO			HTH-type transcriptional regulator LeuO
OKAGGDNG_01118	CDS	1572	leuA	2.3.3.13	COG0119	2-isopropylmalate synthase
OKAGGDNG_01119	CDS	1092	leuB	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
OKAGGDNG_01120	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
OKAGGDNG_01121	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
OKAGGDNG_01122	CDS	1179	setA			Sugar efflux transporter A
OKAGGDNG_01123	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
OKAGGDNG_01124	CDS	1656	sgrR_2		COG4533	HTH-type transcriptional regulator SgrR
OKAGGDNG_01125	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
OKAGGDNG_01126	CDS	1611				hypothetical protein
OKAGGDNG_01127	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
OKAGGDNG_01128	CDS	765	yabI		COG0586	Inner membrane protein YabI
OKAGGDNG_01129	CDS	879	araC			Arabinose operon regulatory protein
OKAGGDNG_01130	CDS	1701	araB_1	2.7.1.16	COG1069	Ribulokinase
OKAGGDNG_01131	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
OKAGGDNG_01132	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
OKAGGDNG_01133	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
OKAGGDNG_01134	CDS	2907	rapA	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
OKAGGDNG_01135	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
OKAGGDNG_01136	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
OKAGGDNG_01137	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
OKAGGDNG_01138	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
OKAGGDNG_01139	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
OKAGGDNG_01140	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
OKAGGDNG_01141	CDS	378	apaG		COG2967	Protein ApaG
OKAGGDNG_01142	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
OKAGGDNG_01143	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
OKAGGDNG_01144	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
OKAGGDNG_01145	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
OKAGGDNG_01146	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
OKAGGDNG_01147	CDS	288	fixX_2		COG2440	Ferredoxin-like protein FixX
OKAGGDNG_01148	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
OKAGGDNG_01149	CDS	942	fixB_2		COG2025	Protein FixB
OKAGGDNG_01150	CDS	771	fixA_2		COG2086	Protein FixA
OKAGGDNG_01151	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
OKAGGDNG_01152	CDS	1143	caiA_2	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
OKAGGDNG_01153	CDS	420	caiB_1	2.8.3.21	COG1804	L-carnitine CoA-transferase
OKAGGDNG_01154	CDS	738	caiB_2	2.8.3.21	COG1804	L-carnitine CoA-transferase
OKAGGDNG_01155	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
OKAGGDNG_01156	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
OKAGGDNG_01157	CDS	591	yrdA_1		COG0663	Protein YrdA
OKAGGDNG_01158	CDS	396				hypothetical protein
OKAGGDNG_01159	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
OKAGGDNG_01160	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
OKAGGDNG_01161	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
OKAGGDNG_01162	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
OKAGGDNG_01163	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
OKAGGDNG_01164	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
OKAGGDNG_01165	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
OKAGGDNG_01166	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
OKAGGDNG_01167	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
OKAGGDNG_01168	CDS	264	rpsT		COG0268	30S ribosomal protein S20
OKAGGDNG_01169	CDS	618	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
OKAGGDNG_01170	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
OKAGGDNG_01171	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
OKAGGDNG_01172	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
OKAGGDNG_01173	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
OKAGGDNG_01174	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
OKAGGDNG_01175	CDS	672	zinT		COG3443	Metal-binding protein ZinT
OKAGGDNG_01176	CDS	531	yodB		COG3038	Cytochrome b561 
OKAGGDNG_01177	tRNA	90				tRNA-Ser(cga)
OKAGGDNG_01178	CDS	798	mtfA		COG3228	Protein MtfA
OKAGGDNG_01179	tRNA	76				tRNA-Asn(gtt)
OKAGGDNG_01180	CDS	150				hypothetical protein
OKAGGDNG_01181	CDS	7104				hypothetical protein
OKAGGDNG_01182	CDS	705				hypothetical protein
OKAGGDNG_01183	CDS	1317	abaF			Fosfomycin resistance protein AbaF
OKAGGDNG_01184	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
OKAGGDNG_01185	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
OKAGGDNG_01186	tRNA	76				tRNA-Asn(gtt)
OKAGGDNG_01187	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
OKAGGDNG_01188	tRNA	76				tRNA-Asn(gtt)
OKAGGDNG_01189	CDS	951	cbl			HTH-type transcriptional regulator cbl
OKAGGDNG_01190	CDS	918	gltC_1			HTH-type transcriptional regulator GltC
OKAGGDNG_01191	tRNA	76				tRNA-Asn(gtt)
OKAGGDNG_01192	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
OKAGGDNG_01193	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
OKAGGDNG_01194	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
OKAGGDNG_01195	CDS	543	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
OKAGGDNG_01196	CDS	393	btuB_1			Vitamin B12 transporter BtuB
OKAGGDNG_01197	CDS	906				IS3 family transposase IS2
OKAGGDNG_01198	CDS	408				hypothetical protein
OKAGGDNG_01199	CDS	402				hypothetical protein
OKAGGDNG_01200	CDS	330				hypothetical protein
OKAGGDNG_01201	CDS	1059	yeeA		COG1289	Inner membrane protein YeeA
OKAGGDNG_01202	CDS	474	sbmC_1		COG3449	DNA gyrase inhibitor
OKAGGDNG_01203	CDS	1167	dacD	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacD
OKAGGDNG_01204	CDS	1428	sbcB	3.1.11.1	COG2925	Exodeoxyribonuclease I
OKAGGDNG_01205	CDS	228	yeeD		COG0425	Putative sulfur carrier protein YeeD
OKAGGDNG_01206	CDS	1005				hypothetical protein
OKAGGDNG_01207	CDS	1359	plaP		COG0531	Low-affinity putrescine importer PlaP
OKAGGDNG_01208	CDS	951	yhaJ_1			HTH-type transcriptional regulator YhaJ
OKAGGDNG_01209	CDS	825	yeeZ		COG0451	Protein YeeZ
OKAGGDNG_01210	CDS	900	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
OKAGGDNG_01211	CDS	1305	hisD	1.1.1.23	COG0141	Histidinol dehydrogenase
OKAGGDNG_01212	CDS	1071	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
OKAGGDNG_01213	CDS	1068	hisB		COG0131	Histidine biosynthesis bifunctional protein HisB
OKAGGDNG_01214	CDS	591	hisH	4.3.2.10	COG0118	Imidazole glycerol phosphate synthase subunit HisH
OKAGGDNG_01215	CDS	738	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
OKAGGDNG_01216	CDS	777	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
OKAGGDNG_01217	CDS	612	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
OKAGGDNG_01218	CDS	981	wzzB		COG3765	Chain length determinant protein
OKAGGDNG_01219	CDS	1167	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
OKAGGDNG_01220	CDS	1407	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
OKAGGDNG_01221	CDS	1365	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
OKAGGDNG_01222	CDS	1425	manC1_1	2.7.7.13	COG0662	Mannose-1-phosphate guanylyltransferase 1
OKAGGDNG_01223	CDS	258				hypothetical protein
OKAGGDNG_01224	CDS	210			COG1662	IS1 family transposase IS1F
OKAGGDNG_01225	CDS	522	fecI		COG1595	putative RNA polymerase sigma factor FecI
OKAGGDNG_01226	CDS	954	fecR		COG3712	Protein FecR
OKAGGDNG_01227	CDS	2325	fecA		COG4772	Fe(3+) dicitrate transport protein FecA
OKAGGDNG_01228	CDS	903	fecB		COG4594	Fe(3+) dicitrate-binding periplasmic protein
OKAGGDNG_01229	CDS	999	fecC		COG0609	Fe(3+) dicitrate transport system permease protein FecC
OKAGGDNG_01230	CDS	957	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
OKAGGDNG_01231	CDS	768	fecE		COG1120	Fe(3+) dicitrate transport ATP-binding protein FecE
OKAGGDNG_01232	CDS	258				hypothetical protein
OKAGGDNG_01233	CDS	414				hypothetical protein
OKAGGDNG_01234	CDS	303				IS3 family transposase ISSfl10
OKAGGDNG_01235	CDS	819				IS3 family transposase ISSd1
OKAGGDNG_01236	CDS	1998			COG1292	Glycine betaine transporter
OKAGGDNG_01237	CDS	159				hypothetical protein
OKAGGDNG_01238	CDS	414				hypothetical protein
OKAGGDNG_01239	CDS	654				IS3 family transposase ISLad1
OKAGGDNG_01240	CDS	273				IS3 family transposase IS911
OKAGGDNG_01241	CDS	351				hypothetical protein
OKAGGDNG_01242	CDS	126	ythA			putative protein YthA
OKAGGDNG_01243	CDS	1119	yjhC	1.-.-.-	COG0673	putative oxidoreductase YjhC
OKAGGDNG_01244	CDS	1218	yjhB			Putative metabolite transport protein YjhB
OKAGGDNG_01245	CDS	1329			COG3385	IS4 family transposase IS4
OKAGGDNG_01246	CDS	360				hypothetical protein
OKAGGDNG_01247	CDS	432	opgE_1	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
OKAGGDNG_01248	CDS	1191	intA_1		COG0582	Prophage integrase IntA
OKAGGDNG_01249	tRNA	85				tRNA-Leu(caa)
OKAGGDNG_01250	CDS	1020	ahr	1.1.1.2	COG1064	Aldehyde reductase Ahr
OKAGGDNG_01251	CDS	564	gntK_2	2.7.1.12	COG3265	Thermoresistant gluconokinase
OKAGGDNG_01252	CDS	1032	idnD	1.1.1.264	COG1063	L-idonate 5-dehydrogenase (NAD(P)(+))
OKAGGDNG_01253	CDS	765	idnO	1.1.1.69		5-keto-D-gluconate 5-reductase
OKAGGDNG_01254	CDS	1320	idnT		COG2610	Gnt-II system L-idonate transporter
OKAGGDNG_01255	CDS	999	gntR_2			HTH-type transcriptional regulator GntR
OKAGGDNG_01256	CDS	1503				hypothetical protein
OKAGGDNG_01257	CDS	1083	lptG_1		COG0795	Lipopolysaccharide export system permease protein LptG
OKAGGDNG_01258	CDS	1101	lptF		COG0795	Lipopolysaccharide export system permease protein LptF
OKAGGDNG_01259	CDS	1512	pepA	3.4.11.1	COG0260	Cytosol aminopeptidase
OKAGGDNG_01260	CDS	444	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
OKAGGDNG_01261	CDS	2856	valS	6.1.1.9	COG0525	Valine--tRNA ligase
OKAGGDNG_01262	CDS	1197	yjgN		COG4269	Inner membrane protein YjgN
OKAGGDNG_01263	CDS	504				hypothetical protein
